epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.239,2.39209,3.24807,0.0038,0.44974,0.14852,0.1084,0.05733,2.27478,2.03181,0.00424,0.000237706,0.000237706,0.000237706
2,565.617,2.31799,2.23904,0.00343,0.24371,0.18632,0.14988,0.08109,2.25232,1.86583,0.00412,0.000428611,0.000428611,0.000428611
3,996.059,2.28712,2.01694,0.00335,0.26136,0.20611,0.17641,0.09681,2.22209,1.78618,0.00406,0.000572392,0.000572392,0.000572392
4,1257.47,2.26672,1.89992,0.00327,0.28196,0.22501,0.19452,0.10721,2.18968,1.73189,0.00399,0.000501942,0.000501942,0.000501942
5,1510.35,2.24064,1.82403,0.00322,0.29845,0.23668,0.20659,0.11165,2.20458,1.72266,0.00401,0.000431256,0.000431256,0.000431256
6,1764.06,2.21443,1.76807,0.00316,0.32152,0.23176,0.21639,0.12139,2.14894,1.68138,0.0039,0.00036057,0.00036057,0.00036057
7,2004.36,2.20087,1.7391,0.00311,0.32095,0.2454,0.22006,0.12175,2.1595,1.66769,0.00386,0.000289884,0.000289884,0.000289884
8,2240.34,2.18729,1.7111,0.00307,0.32469,0.24967,0.22997,0.12892,2.14181,1.65226,0.00385,0.000219198,0.000219198,0.000219198
9,2466.61,2.17774,1.69045,0.00304,0.32128,0.25664,0.23175,0.12927,2.13602,1.64722,0.00381,0.000148512,0.000148512,0.000148512
10,2730.29,2.17183,1.67471,0.00301,0.32891,0.25416,0.23438,0.13159,2.13424,1.6322,0.0038,7.7826e-05,7.7826e-05,7.7826e-05
